1	42899 134427 55636 116245 55422 103032 63980 112460 16725 117761 14440 113791 152114 6004 152842 37412 44214
2	86902 32508 96871 66460 76660 100401 76997 12235 96880 100667 83636 90467 59057 41671 29110 98690 14303 105448 102998 53765 12252 101019 90509 106834 105897 81873 101177 102942 105196 89928 103272 106280 103125 98427 101517 119850 13668 109431 114038 18951 90837 114063 124874 105888 130891 120354 109704 67249 109860 107114 98763 126659 130933 109591 113505 130854 119364 112933 114487 123300 98253 131409 125588 122520 120225 117236 50222 117756 128218 131321 127352 97838 129008 3847 128486 117036 132842 123957 83258 44603 71096 139249 72363 96675 90149 138351 111133 45415 80184 112855 137503 137102 44648 132332 122786 135397 1383 83877 69237 28995 138837 130994 35079 2448 56151 2349 134018 13246 142626 143084 43226 10489 138737 136326 130787 140621 133584 144758 138925 140101 145205 129393 132536 146876 62928 41117 63132 132678 112838 140572 85210 118101 132216 140742 136067 4327 128163 88110 132678 140572 144068 144286 81877 50427 95469 127546 85471 78376 137740 143633 132216 65135 5784 141777 144987 83947 104252 141154 102177 75270 149956 93946 147519 112723 29954 151261 149427 2614 152213 145131 31586 148518 8416 153189 153022 70973 144884 135822 141249 125632 146936 144378 150509 37131 130784 141269 77650 153210 148301 148086 152573 104001 147272 15540 152374 142718 50850 144673 11939 150020 30417 34937 76426 75681 12420 152842 151407 44303 138923 50203 4762 153366 135776 152998 151943 147134 140615 38711 129653 73851 152437 152648 17251 44277 77549 132323 150354 46816 40389 39485 32808 5758 46422 70511 98708 47942 140473
3	67876 79709 76609 93003 16421 58693 61897 52889 21868 90132 82577 96922 85979 85873 84706 59054 56684 61712 88436 77152 97998 92714 59797 90703 50460 38914 47118 23384 67899 58086 79597 88934 87626 64122 76609 112490 77061 112481 110724 47832 14520 63902 61554 110361 70561 490 111472 55084 101352 89214 81620 46953 106570 114376 31826 83394 64551 109500 108192 12555 77937 104729 58581 113871 110022 79130 114126 118012 51711 119064 59049 79563 59048 81462 40402 52129 87055 121574 19147 18032 94494 79984 92692 105079 76489 50879 75961 42996 39157 101007 89976 61812 74149 71276 85635 45376 115318 45309 123918 93801 125536 30511 86134 82544 126615 90545 92383 116043 77022 109244 88297 119360 64165 125304 117712 123357 31177 124649 41312 104644 64760 49099 104645 120429 53591 49197 102948 68262 9840 128805 104591 101355 116662 49498 107131 3701 119579 51526 120036 79909 59309 122371 87104 49523 80924 126419 112483 70198 44857 112823 89437 132390 113204 74320 106245 59960 132398 80365 116130 98654 86234 122646 136175 131978 97152 129046 131009 132417 138018 48518 92374 124257 99421 136741 67516 114948 33437 81674 97998 112439 131257 94517 130739 66928 122914 33953 97627 47528 79737 124724 140630 146043 136441 86952 144324 142432 142812 108656 144526 76923 86484 48093 80166 34678 147740 135441 58569 23408 118394 48539 133393 145005 143468 133258 153065 138158 59803 152349 152623 78785 77545 67727 13884 97799 109994 82703 61969 152615 15287 121976 125108 127240 45309 103324 128732 47572 52024 99514 76609 112760 65710 76856 146751 76236 58318 76900
4	117358 50707 42124 32508 1611 47001 121634 126897 114586 42388 16913 107940 96392 54263 13655 8718 44275 54247 109497 60709 133631 54106 37643 121659
5	97706 608 62407 383 81904 15238 59500 93701 94553 7109 64698 73591 97666 95469 92308 44924 30588 92525 32572 63237 93868 91310 53977 94272 91784 98061 101306 28016 104086 105118 72801 97182 109635 120983 115459 107216 104969 118542 120205 119743 113317 120399 60308 124160 93530 105919 106863 110522 116923 103107 101669 130267 102178 130396 130034 126690 35745 109415 127790 114986 116618 121683 133638 110971 122259 137368 139145 138303 26257 134392 134772 56186 98241 135204 125174 140105 142911 134789 48750 150797 149929 139474 68341 146305 58554 16439 45770 152842 151788 7586 31103 150854 16362 83877 72492 138884 150974 3100 145113 136653
6	655 14208 655 95954 61542 48584 52848 36885 92970 17061 12410 113561 36457 89670 26897 80661 62968 107505 111123 71629 36755 28147 114207 83116 47539 15201
8	96700 32880 99826 81365 18056 91595 8336 89199 95488 99539 48398 95755 12240 73766 81582 79885 99674 81158 29174 62866 26547 90200 33287 70570 33286 62466 59668 93781 31064 102374 101884 102433 37319 78455 20361 101177 96555 103870 101623 86784 104754 71370 11058 48354 103190 5069 37773 25629 12746 6436 56220 106793 6357 88065 74456 64660 8888 10667 3429 18157 61224 12999 74655 112608 9634 107760 115459 97177 67269 100109 116891 101463 101333 69312 118355 9051 38065 81212 112812 39015 12599 105926 99403 42778 113317 115783 110390 109707 23256 81023 118790 121412 119491 127930 41878 60595 99086 76105 123298 122166 129555 50848 75332 13673 118925 5679 129483 5546 128869 105571 122468 105039 74472 129550 126997 130851 77063 3425 131091 39968 118367 106818 132455 132135 14726 132555 126018 130903 128027 1266 125794 130075 105978 15188 29194 4676 79876 131202 83210 10547 73922 35405 136162 52974 136176 133060 133866 42388 127873 123780 132745 29617 137361 60037 125697 136559 100145 136473 70897 25033 26332 140881 138191 130193 137375 73593 136745 142911 25288 126885 58942 46577 137623 138207 20149 148023 148042 42689 131885 145358 60248 148820 118018 137974 146403 95692 148852 70830 149387 42899 105734 147279 137391 71546 139500 115335 4800 52896 35849 143571 98938 12745 138223 140666 129285 145237 127438 151291 149289 147431 150103 132898 136851 130764 140264 151929 141185 150761 86322 148999 118784 97484 152420 137693 152502 137065 147668 151595 100291 148660 37594 115028 148726
9	94438 29883 99016 61615 18873 22272 99981 45139 11916 102746 103196 23913 25241 29542 44193 110235 69665 86176 112637 23286 66275 126897 33620 45689 50220 126328 16471 13205 137260 152281 136584 80814 121781 143652 20170
10	81691 79563 34477 77035 70483 20108 76461 78948 85979 98000 31504 43046 108192 71708 94660 40832 27894 59569 95014 106245 47497 64156 86273 98735 57802 98702 57068 50841 88363 27725 96301 92086 4889 64345 79678 112760 96601 114634 115591 57261 95467 116745 89911 40487 39369 32952 121976 120074 63916 99723 50480 118709 32068 93095 126401 136595 133393 134996 100250 121903 55155 131587 122712 152927 122069 146828 43926 140958 148751 120972 147976 46678 142113 148379
11	108193 104864 109487 91087 113093 103550 123387 123250 94854 119575 103550 123250 121794 102607 119985 85099 118668 89659 78384 109558 120646 130558 132277 121407 122468 126224 112745 130764 23953 130764 125421 143112 141998 142382 34940 130909 140263 106720 137774 74688 137192 113620 145185 128420 148382 144280 147742 11072 50683 150473 153340 152545 136347 151560 150541 110390 103962 62629 113124 66197 89589
